,country_name,state_name,county_code_fips,county_name,Latitude,longitude,confirmed,deaths,recovered,active,refresh_date,combined_key,last_updated,incidence_rate,case_fatality_ratio
32,India,Tripura,,,23.746782999999997,91.743565,84950,827,,,2021-12-17,"Tripura, India",2021-12-18 02:22:20+00:00,2037.2709059488311,0.9735138316656857
33,India,Unknown,,,,,0,0,,,2021-12-17,"Unknown, India",2021-12-18 02:22:20+00:00,,
34,India,Uttar Pradesh,,,26.925425,80.560982,1710617,22915,,,2021-12-17,"Uttar Pradesh, India",2021-12-18 02:22:20+00:00,719.1009771726804,1.3395751357551107
35,India,Uttarakhand,,,30.156446999999996,79.197608,344533,7413,,,2021-12-17,"Uttarakhand, India",2021-12-18 02:22:20+00:00,3062.2820055146008,2.1516081188159046
36,India,West Bengal,,,23.814082,87.979803,1625375,19645,,,2021-12-17,"West Bengal, India",2021-12-18 02:22:20+00:00,1631.7501990752814,1.2086441590402215
37,India,Andaman and Nicobar Islands,,,11.225999,92.96817800000001,7690,129,,,2021-12-07,"Andaman and Nicobar Islands, India",2021-12-08 04:22:46+00:00,1843.9655089728465,1.6775032509752925
38,India,Andhra Pradesh,,,15.9129,79.74,2074036,14455,,,2021-12-07,"Andhra Pradesh, India",2021-12-08 04:22:46+00:00,3847.690997856109,0.6969502940161115
39,India,Arunachal Pradesh,,,27.768456,96.384277,55295,280,,,2021-12-07,"Arunachal Pradesh, India",2021-12-08 04:22:46+00:00,3520.9473924167346,0.5063748982728999
40,India,Assam,,,26.357149,92.83044100000001,617908,6127,,,2021-12-07,"Assam, India",2021-12-08 04:22:46+00:00,1735.3535069287846,0.9915715608148786
41,India,Bihar,,,25.679658,85.60484,726250,12090,,,2021-12-07,"Bihar, India",2021-12-08 04:22:46+00:00,581.9314347990879,1.6647160068846816
42,India,Chandigarh,,,30.733839,76.76827800000002,65508,820,,,2021-12-07,"Chandigarh, India",2021-12-08 04:22:46+00:00,5654.685089769032,1.2517555107773097
43,India,Chhattisgarh,,,21.264705,82.035366,1007038,13593,,,2021-12-07,"Chhattisgarh, India",2021-12-08 04:22:46+00:00,3421.083358124211,1.3498001068480037
44,India,Dadra and Nagar Haveli and Daman and Diu,,,20.194742,73.080901,10683,4,,,2021-12-07,"Dadra and Nagar Haveli and Daman and Diu, India",2021-12-08 04:22:46+00:00,1735.0306306072198,0.037442665917813346
45,India,Delhi,,,28.646519,77.10898,1441449,25099,,,2021-12-07,"Delhi, India",2021-12-08 04:22:46+00:00,7703.783918291147,1.7412339944042419
46,India,Goa,,,15.359682000000001,74.057396,179242,3388,,,2021-12-07,"Goa, India",2021-12-08 04:22:46+00:00,11299.732072498027,1.8901819885964226
47,India,Gujarat,,,22.694884,71.590923,827806,10095,,,2021-12-07,"Gujarat, India",2021-12-08 04:22:46+00:00,1296.0308567711695,1.2194886241462373
48,India,Haryana,,,29.20004,76.332824,771875,10055,,,2021-12-07,"Haryana, India",2021-12-08 04:22:46+00:00,2736.6900514283225,1.302672064777328
49,India,Himachal Pradesh,,,31.927213000000002,77.233081,227684,3855,,,2021-12-07,"Himachal Pradesh, India",2021-12-08 04:22:46+00:00,3055.35929833178,1.69313610091179
50,India,Jammu and Kashmir,,,33.75943,76.612638,338047,4487,,,2021-12-07,"Jammu and Kashmir, India",2021-12-08 04:22:46+00:00,2484.4851510180565,1.327330223312143
51,India,Jharkhand,,,23.654536,85.557631,349367,5141,,,2021-12-07,"Jharkhand, India",2021-12-08 04:22:46+00:00,905.2377849501172,1.47151848915324
