,country_name,state_name,county_code_fips,county_name,Latitude,longitude,confirmed,deaths,recovered,active,refresh_date,combined_key,last_updated,incidence_rate,case_fatality_ratio
89,Canada,Yukon,,,64.2823,-135.0,1755,15,,,2022-01-02,"Yukon, Canada",2022-01-03 02:22:25+00:00,4272.359900676761,0.8547008547008547
90,Central African Republic,,,,6.6111,20.9394,12163,101,,,2022-01-02,Central African Republic,2022-01-03 02:22:25+00:00,251.8342511145472,0.830387239990134
91,Chad,,,,15.4542,18.7322,6183,184,,,2022-01-02,Chad,2022-01-03 02:22:25+00:00,37.64186700981666,2.9759016658579975
92,Chile,Antofagasta,,,-23.6509,-70.3975,67097,1286,,,2022-01-02,"Antofagasta, Chile",2022-01-03 02:22:25+00:00,11044.155553434046,1.9166281651936747
93,Chile,Araucania,,,-38.9489,-72.3311,104423,1561,,,2022-01-02,"Araucania, Chile",2022-01-03 02:22:25+00:00,10908.940853969394,1.4948813958610652
94,Chile,Arica y Parinacota,,,-18.594,-69.4785,29033,546,,,2022-01-02,"Arica y Parinacota, Chile",2022-01-03 02:22:25+00:00,12842.596033052005,1.8806186064133916
95,Chile,Atacama,,,-27.5661,-70.0503,30891,382,,,2022-01-02,"Atacama, Chile",2022-01-03 02:22:25+00:00,10690.998947893017,1.236606131235635
96,Chile,Aysen,,,-45.9864,-73.7669,10343,98,,,2022-01-02,"Aysen, Chile",2022-01-03 02:22:25+00:00,10026.367320033349,0.947500725128106
97,Chile,Biobio,,,-37.4464,-72.1416,168140,2845,,,2022-01-02,"Biobio, Chile",2022-01-03 02:22:25+00:00,10800.325024649845,1.6920423456643274
98,Chile,Coquimbo,,,-29.959,-71.3389,54934,1099,,,2022-01-02,"Coquimbo, Chile",2022-01-03 02:22:25+00:00,7251.189963911688,2.000582517202461
99,Chile,Los Lagos,,,-41.9198,-72.1416,99599,1518,,,2022-01-02,"Los Lagos, Chile",2022-01-03 02:22:25+00:00,12018.587970672419,1.524111687868352
